time,packet_type,source,current_node,next_hop,dest,hop_count,routing_direction
731.0117737291005,SENSOR_DATA,"[10,3]",59,"[10,254]","[7,3]",,TREE
731.0118241808505,SENSOR_DATA,"[10,3]",49,"[5,2]","[7,3]",,MESH
731.0118648775446,SENSOR_DATA,"[10,3]",48,"[7,1]","[7,3]",,TREE
731.0119638626625,SENSOR_DATA,"[10,3]",68,"[7,3]","[7,3]",,DIRECT
731.012104709269,SENSOR_DATA,"[11,3]",76,"[18,3]","[12,1]",,MESH
731.0121594060352,SENSOR_DATA,"[11,3]",77,"[15,2]","[12,1]",,MESH
731.0122471108103,SENSOR_DATA,"[11,3]",66,"[12,1]","[12,1]",,DIRECT
731.0125487507117,SENSOR_DATA,"[7,2]",69,"[7,3]","[18,2]",,MESH
731.0126072966245,SENSOR_DATA,"[7,2]",79,"[7,254]","[18,2]",,TREE
731.012687279452,SENSOR_DATA,"[7,2]",68,"[7,3]","[18,2]",,MESH
731.0127672622796,SENSOR_DATA,"[7,2]",79,"[7,254]","[18,2]",,TREE
731.0128472451071,SENSOR_DATA,"[7,2]",68,"[7,3]","[18,2]",,MESH
731.0129010876286,SENSOR_DATA,"[19,7]",52,"[29,1]","[30,2]",,MESH
731.0129272279346,SENSOR_DATA,"[7,2]",79,"[7,254]","[18,2]",,TREE
731.0129430508531,SENSOR_DATA,"[21,1]",74,"[22,2]","[22,2]",,DIRECT
731.0129794869603,SENSOR_DATA,"[19,7]",51,"[19,4]","[30,2]",,MESH
731.0130072107621,SENSOR_DATA,"[7,2]",68,"[7,3]","[18,2]",,MESH
731.0130634943202,SENSOR_DATA,"[19,7]",62,"[30,2]","[30,2]",,DIRECT
731.0130871935896,SENSOR_DATA,"[7,2]",79,"[7,254]","[18,2]",,TREE
731.0131671764171,SENSOR_DATA,"[7,2]",68,"[7,3]","[18,2]",,MESH
731.0132471592447,SENSOR_DATA,"[7,2]",79,"[7,254]","[18,2]",,TREE
731.0133271420722,SENSOR_DATA,"[7,2]",68,"[7,3]","[18,2]",,MESH
731.0133747599972,SENSOR_DATA,"[22,3]",82,"[19,6]","[19,6]",,DIRECT
731.0134071248997,SENSOR_DATA,"[7,2]",79,"[7,254]","[18,2]",,TREE
731.0134871077272,SENSOR_DATA,"[7,2]",68,"[7,3]","[18,2]",,MESH
731.0135670905547,SENSOR_DATA,"[7,2]",79,"[7,254]","[18,2]",,TREE
731.0136470733822,SENSOR_DATA,"[7,2]",68,"[7,3]","[18,2]",,MESH
731.013681887818,SENSOR_DATA,"[35,3]",20,"[39,1]","[39,1]",,DIRECT
731.0137270562097,SENSOR_DATA,"[7,2]",79,"[7,254]","[18,2]",,TREE
731.0137906952152,SENSOR_DATA,"[22,1]",73,"[30,2]","[30,3]",,MESH
731.0138070390373,SENSOR_DATA,"[7,2]",68,"[7,3]","[18,2]",,MESH
731.0138649875747,SENSOR_DATA,"[22,1]",72,"[30,254]","[30,3]",,TREE
731.0138870218648,SENSOR_DATA,"[7,2]",79,"[7,254]","[18,2]",,TREE
731.0139576994906,SENSOR_DATA,"[22,1]",61,"[30,3]","[30,3]",,DIRECT
731.0139670046923,SENSOR_DATA,"[7,2]",68,"[7,3]","[18,2]",,MESH
731.0140469875198,SENSOR_DATA,"[7,2]",79,"[7,254]","[18,2]",,TREE
731.0141269703473,SENSOR_DATA,"[7,2]",68,"[7,3]","[18,2]",,MESH
731.0142069531748,SENSOR_DATA,"[7,2]",79,"[7,254]","[18,2]",,TREE
731.0142356976556,SENSOR_DATA,"[30,1]",71,"[19,6]","[19,6]",,DIRECT
731.0142454664106,SENSOR_DATA,"[30,3]",60,"[33,1]","[22,3]",,MESH
731.0142548578123,SENSOR_DATA,"[30,4]",50,"[19,6]","[19,3]",,MESH
731.0142604652088,SENSOR_DATA,"[30,2]",72,"[22,1]","[12,2]",,MESH
731.0142869360023,SENSOR_DATA,"[7,2]",68,"[7,3]","[18,2]",,MESH
731.0143347575683,SENSOR_DATA,"[30,2]",73,"[12,1]","[12,2]",,MESH
731.0143419623314,SENSOR_DATA,"[30,4]",61,"[19,3]","[19,3]",,DIRECT
731.015147226102,SENSOR_DATA,"[20,3]",96,"[20,254]","[18,3]",,TREE
731.0151483016467,SENSOR_DATA,"[21,2]",84,"[22,2]","[30,2]",,MESH
