packet_id,packet_type,source_gui,dest_gui,created_at,received_at,delay,path
1004,JOIN_REQUEST,45,,109.1153757592833,109.11546113027693,8.537099363081779e-05,45 -> 34
1006,JOIN_REQUEST,25,,109.11541819117359,109.11548322448958,6.503331599105877e-05,25 -> 34
1007,JOIN_REQUEST,36,,109.11542189201613,109.11552082072065,9.892870451722047e-05,36 -> 34
1014,JOIN_ACK,25,,109.11554825780557,109.11561329112156,6.503331599105877e-05,25 -> 34
1012,JOIN_ACK,45,,109.11554650127056,109.11563187226419,8.537099363081779e-05,45 -> 34
1016,JOIN_ACK,36,,109.11561974942516,109.11571867812968,9.892870451722047e-05,36 -> 34
1019,CH_NOMINATION,34,,109.11571867812968,109.1158176068342,9.892870451722047e-05,34 -> 36
1026,CH_NOMINATION_ACK,36,,109.1158176068342,109.11591653553872,9.892870451722047e-05,36 -> 34
1028,NETWORK_UPDATE,34,,109.11591653553872,109.11597924398987,6.270845115352586e-05,34 -> 33
1029,NETWORK_UPDATE,34,,109.11591653553872,109.11597924398987,6.270845115352586e-05,34 -> 33
1030,NETWORK_UPDATE,33,,109.11597924398987,109.11602694698158,4.7702991707865294e-05,33 -> 32
1031,NETWORK_UPDATE,33,,109.11597924398987,109.11602694698158,4.7702991707865294e-05,33 -> 32
1032,NETWORK_UPDATE,32,,109.11602694698158,109.11609523494282,6.828796124125347e-05,32 -> 31
1033,NETWORK_UPDATE,32,,109.11602694698158,109.11609523494282,6.828796124125347e-05,32 -> 31
1034,JOIN_REQUEST,74,,109.11603122635704,109.1161297918141,9.856545706554698e-05,74 -> 54
1037,JOIN_ACK,74,,109.11622835727117,109.11632692272823,9.856545706554698e-05,74 -> 54
1046,JOIN_REQUEST,0,,110.3139102267495,110.31395738475184,4.7158002345781824e-05,0 -> 1
1076,JOIN_REQUEST,16,,115.31455468598844,115.31464591008573,9.122409728945513e-05,16 -> 25
1081,JOIN_REQUEST,62,,116.97696960629273,116.97703108470893,6.147841619963401e-05,62 -> 52
1082,JOIN_REQUEST,72,,116.97700709967127,116.97710607146601,9.897179474194218e-05,72 -> 52
1085,JOIN_ACK,62,,116.97709256312513,116.97715404154133,6.147841619963401e-05,62 -> 52
1089,JOIN_ACK,72,,116.97720504326075,116.9773040150555,9.897179474194218e-05,72 -> 52
1095,JOIN_REQUEST,50,,117.90944235643778,117.90950408028154,6.172384375702222e-05,50 -> 40
1097,NETWORK_REQUEST,40,,117.90950408028154,117.90960036242929,9.62821477514808e-05,40 -> 31
1100,JOIN_REQUEST,24,,118.09059689472896,118.09067242769771,7.553296875073556e-05,24 -> 33
1103,JOIN_ACK,24,,118.09074796066646,118.09082349363521,7.553296875073556e-05,24 -> 33
1113,JOIN_REQUEST,37,,119.1156865207992,119.1157764696779,8.994887869562262e-05,37 -> 36
1114,JOIN_REQUEST,46,,119.11570392571024,119.1157881019953,8.417628507118025e-05,46 -> 36
1121,JOIN_ACK,37,,119.11586641855659,119.11595636743529,8.994887869562262e-05,37 -> 36
1122,JOIN_ACK,46,,119.11587227828038,119.11595645456545,8.417628507118025e-05,46 -> 36
1124,JOIN_REQUEST,75,,119.11629159978487,119.11635484229858,6.324251370415368e-05,75 -> 74
1123,JOIN_REQUEST,73,,119.11628369544415,119.11637244754469,8.875210053815863e-05,73 -> 62
1125,JOIN_REQUEST,83,,119.11631391781607,119.11639947836098,8.55605449032737e-05,83 -> 74
1126,NETWORK_REQUEST,62,,119.11637244754469,119.11659763219258,0.0002251846478884545,62 -> 52 -> 42 -> 31
1132,JOIN_REQUEST,0,,120.3139102267495,120.31395738475184,4.7158002345781824e-05,0 -> 1
1133,NETWORK_REQUEST,1,,120.31395738475184,120.31432225702956,0.0003648722777143121,1 -> 12 -> 23 -> 33 -> 32 -> 31
1134,NETWORK_REPLY,31,,120.31432225702956,120.31468712930727,0.0003648722777143121,31 -> 32 -> 33 -> 23 -> 12 -> 1
1139,JOIN_ACK,0,,120.31473428730962,120.31478144531197,4.7158002345781824e-05,0 -> 1
1135,NETWORK_UPDATE,1,,120.31468712930727,120.31478424574485,9.711643757270849e-05,1 -> 12
1140,CH_NOMINATION,1,,120.31478144531197,120.31482860331431,4.7158002345781824e-05,1 -> 0
1141,NETWORK_UPDATE,12,,120.31478424574485,120.31486884893314,8.460318829861535e-05,12 -> 23
1143,NETWORK_UPDATE,23,,120.31486884893314,120.31493601063204,6.716169889386947e-05,23 -> 33
1145,NETWORK_UPDATE,33,,120.31493601063204,120.31498371362375,4.7702991707865294e-05,33 -> 32
1146,JOIN_REQUEST,22,,120.32530136586831,120.325349373651,4.8007782680770106e-05,22 -> 31
1149,JOIN_ACK,22,,120.32539738143367,120.32544538921636,4.8007782680770106e-05,22 -> 31
1168,TABLE_SHARE,41,,121.59472344687157,121.59476909938002,4.565250844734692e-05,41 -> 42
1164,TABLE_SHARE,41,,121.59472344687157,121.5947844611485,6.1014276937498835e-05,41 -> 31
1166,TABLE_SHARE,41,,121.59472344687157,121.59478608797005,6.26410984807535e-05,41 -> 40
1178,TABLE_SHARE,32,,121.59474526792447,121.5947926565415,4.7388617034016534e-05,32 -> 42
1176,TABLE_SHARE,32,,121.59474526792447,121.59479297091617,4.7702991707865294e-05,32 -> 33
1165,TABLE_SHARE,41,,121.59472344687157,121.59480135027627,7.79034047013738e-05,41 -> 32
1182,TABLE_SHARE,32,,121.59474526792447,121.59480276362736,5.749570289026451e-05,32 -> 22
1169,TABLE_SHARE,41,,121.59472344687157,121.59481111733061,8.7670459038236e-05,41 -> 52
1172,TABLE_SHARE,32,,121.59474526792447,121.59481355588571,6.828796124125347e-05,32 -> 31
