node_id,start_time,registered_time,delta_time
20,168.23640607618808,681.013681887818,512.77727581163
11,55.90517792884402,701.0119289353845,645.1067510065404
10,174.14220117723096,742.3521730065185,568.2099718292875
0,89.4266891244853,802.3533290767551,712.9266399522699
74,181.40054411463447,839.6284228420501,658.2278787274156
63,190.54056942224972,839.6285053076803,649.0879358854305
53,169.21383262071728,839.6290713285316,670.4152387078143
42,127.00537351136063,1451.0147048680371,1324.0093313566765
52,140.57997819763835,1451.0147233461983,1310.4347451485598
62,170.03755443225288,1451.0147381472232,1280.9771837149704
61,67.65268927208452,1451.0147407565735,1383.362051484489
11,55.90517792884402,2721.01413492351,2665.108956994666
44,22.51098344664961,2741.0127961554635,2718.5018127088138
45,113.21526342301547,2741.0128128362876,2627.797549413272
24,12.563709222454577,2781.0127634680375,2768.449054245583
