node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,72.081310,82.512049,101.142496,177.766473,246.612902,306.704234,337.221172,426.335737,471.614457,519.126659,0.000000,39.599093,99.662532,152.416186,231.634692,308.558954,354.153040,413.929829,474.014477,529.274386,63.889567,86.478846,135.009873,180.339665,224.640960,314.271606,349.042398,442.909772,486.221561,562.446395,126.440963,141.101979,191.526841,226.924995,273.944759,308.405356,368.841084,452.519923,482.320055,549.420945,204.514517,198.764128,216.669376,279.186752,296.823867,356.786426,427.661901,472.372975,507.607698,578.211505,262.273150,242.833592,286.427696,312.676704,368.472000,410.626901,433.263825,507.556416,554.219113,625.231378,314.606693,298.774732,344.671859,375.596448,409.829255,462.691116,487.634695,529.680189,595.594630,640.506560,385.178839,389.415602,383.564713,433.423449,439.188294,478.297630,526.942625,574.328550,635.057157,688.010888,413.198035,420.174765,461.831378,487.746979,498.267685,542.942866,570.353606,624.061666,642.019019,722.166689,486.429773,478.834108,501.367603,547.409462,557.247921,608.326929,629.528223,661.002886,716.563308,754.339253
11,94.658327,83.726560,77.579495,151.310965,215.135478,276.183634,305.049403,392.740761,436.999302,484.836660,39.599093,0.000000,62.071069,115.827984,195.385800,272.066406,318.177611,377.551021,437.548320,492.435429,52.493231,55.417393,97.389692,140.830674,185.623659,275.254918,310.259207,404.508303,447.925105,524.647796,112.978699,111.123388,154.656132,188.100261,234.349888,268.811001,329.364925,413.442470,443.294904,510.686417,187.770318,171.422071,183.624895,242.623671,258.426231,317.327976,388.193051,432.775526,468.034420,538.930891,248.300172,219.704582,258.522067,279.303967,331.989157,372.649691,394.296526,468.138855,514.782713,585.636912,299.837176,276.152713,314.753362,342.348201,374.214373,425.860566,450.007466,490.717923,556.526294,601.126928,367.464916,366.566114,356.976544,403.269441,405.930709,442.797660,489.878250,536.144356,596.629376,649.068206,397.079544,399.531776,436.757273,458.202606,465.852163,508.498569,533.786651,587.055622,603.989052,683.491160,468.591077,455.850557,476.397593,519.249994,526.455594,575.073629,593.927791,624.493185,679.279658,716.469903
12,131.166502,97.116438,51.152132,102.409864,156.851386,218.312444,245.408638,331.802455,375.451355,423.417754,99.662532,62.071069,0.000000,53.892481,133.406875,210.008021,256.195707,315.491940,375.480442,430.376247,97.670302,70.158875,69.122136,84.603188,125.767661,215.189986,249.617192,343.260763,386.559701,462.891299,140.390141,107.660326,121.477853,142.526301,179.604585,212.767182,271.266670,353.429066,383.127514,449.899728,201.579579,165.817730,161.888404,206.040065,213.444318,264.454725,334.822290,376.348768,410.796617,479.524014,263.131259,219.564303,246.109939,252.061332,293.708810,328.092347,344.690642,415.009491,461.352639,529.682277,311.413706,274.338776,295.676862,313.955860,338.247537,385.257868,406.270672,440.689511,505.675475,548.030619,372.193501,361.700090,344.561530,381.827178,376.495350,406.432941,447.981665,489.699597,548.917314,598.718708,403.995952,398.262603,426.119796,437.451967,437.955296,474.716415,493.346485,544.872281,557.940615,634.425716,471.354887,449.163274,465.434919,500.989552,502.037892,544.091401,556.235773,583.820116,635.805898,670.748399
13,172.182769,129.971859,73.335504,72.175509,106.968592,168.044517,193.128036,278.308664,321.617753,369.630416,152.416186,115.827984,53.892481,0.000000,79.557817,156.313541,202.350469,261.784346,321.820496,376.911160,148.744597,115.364908,87.532167,54.006930,79.787697,166.504513,199.554303,291.745272,334.757671,410.264201,181.919921,135.139477,119.415173,121.147471,141.118122,171.030626,225.302406,303.962711,333.328561,398.994548,231.234760,183.897828,166.170496,190.722459,187.434321,226.205307,294.809295,331.920994,365.085995,430.615568,290.858071,238.029024,252.885774,244.403863,272.685498,299.051526,309.315814,374.560908,420.233932,485.161923,335.326897,288.937995,294.296595,302.870511,318.620510,359.706790,376.945291,403.787008,467.372875,506.896953,389.382089,371.177083,347.853434,375.912405,362.853484,385.117580,420.200136,456.520143,513.935219,560.543596,422.345045,410.025226,429.305970,431.196746,424.797092,455.171479,466.677066,515.929177,524.741529,597.541918,485.327217,455.449872,467.725327,496.188303,491.424505,526.646856,531.911309,556.206459,604.953828,637.351706
14,243.724405,198.056298,143.120042,92.774757,55.286379,103.869048,120.609572,200.641694,242.614161,290.787061,231.634692,195.385800,133.406875,79.557817,0.000000,76.937713,122.794208,182.313354,242.386445,297.697957,225.771714,189.432891,148.166256,82.711194,51.145318,101.337395,128.839549,216.175775,258.394520,332.277115,250.204111,194.596717,152.212504,126.483195,106.832928,123.506335,163.273350,232.355463,260.750770,323.962175,285.517538,228.921869,197.385686,190.967176,170.096220,180.808978,242.167563,269.704255,299.864024,358.942562,340.440393,279.213707,278.410153,250.439767,255.475371,266.489911,264.853629,318.860673,362.512505,420.742516,378.770852,322.471848,305.929596,299.624923,301.003353,330.505352,340.775741,353.798920,413.856940,448.073341,422.553132,394.522611,363.489666,377.104660,352.781958,362.014208,385.424062,411.898339,465.390987,506.160530,456.217326,435.309380,442.051254,430.082686,413.370843,432.922296,432.677316,477.321494,479.012522,544.948131,511.904121,471.933955,478.205841,495.636307,482.227894,506.209582,500.509862,519.157177,562.089234,590.070665
15,318.399069,271.948549,218.521319,157.873787,88.280702,84.514040,74.722394,131.230174,168.681766,217.021238,308.558954,272.066406,210.008021,156.313541,76.937713,0.000000,46.967046,105.484635,165.507101,220.763840,300.123791,262.357617,216.002505,147.858279,101.483580,66.278095,71.948298,143.648549,184.277107,256.119268,318.436037,259.182316,204.944317,165.975157,116.926604,110.029571,117.065103,165.291794,191.605520,250.954606,343.171385,282.547618,243.882149,214.017989,180.157169,156.489896,201.238180,214.400977,239.546709,289.573818,392.952279,327.470047,314.468188,272.025419,254.464401,248.026195,232.575684,269.927509,309.783154,359.079627,425.364966,362.851767,328.579073,309.002228,296.085264,311.638317,313.757280,310.465976,364.804179,392.378559,459.395969,423.640254,386.919189,386.697794,352.563315,348.113048,358.123067,372.915905,420.842402,454.551517,492.873086,464.936571,460.177715,435.550569,409.327646,417.277038,404.704840,443.306208,437.280428,494.776708,540.948432,492.696076,493.265458,499.813565,478.323112,490.474896,473.610296,485.955266,522.048293,545.007552
16,360.550284,313.657823,261.818572,196.369992,121.882629,92.476209,64.464548,87.125364,121.838198,170.157129,354.153040,318.177611,256.195707,202.350469,122.794208,46.967046,0.000000,60.284857,120.241003,176.227720,347.036904,309.324550,262.677757,194.544751,147.548938,91.224097,75.824839,111.770943,147.881613,214.528864,364.974049,305.260029,248.995938,207.642241,152.803607,136.825663,120.580119,140.679651,162.877046,215.201971,387.336277,325.989066,285.736733,248.652371,211.063999,171.303546,200.641165,200.455861,219.549160,258.228053,435.362464,368.940611,351.824151,304.396844,276.746151,260.664701,236.766232,259.599959,295.055669,335.147258,465.598908,401.275224,360.273831,334.951743,314.949631,321.872932,318.646269,303.561412,352.105411,373.561310,495.672064,456.949277,418.117568,411.313831,372.657731,360.501416,361.758309,367.975137,410.881815,438.494154,528.859410,498.112882,488.100093,457.365213,426.327883,427.328351,407.015209,440.852952,429.259887,479.498396,573.343138,521.588300,519.375064,520.223363,494.490864,499.496944,475.660919,483.544719,514.344158,533.321663
17,420.739872,373.798202,322.102853,255.979215,180.795523,141.953514,107.164230,62.539804,72.545070,118.477165,413.929829,377.551021,315.491940,261.784346,182.313354,105.484635,60.284857,0.000000,60.098389,115.943378,404.675417,366.281265,317.657090,249.963871,201.904228,128.672163,98.476024,70.928061,95.763354,155.383540,419.058954,358.154864,298.089167,253.680202,193.702284,169.193965,129.616871,107.154671,120.826794,161.621113,435.443849,373.154043,330.631003,283.889223,242.896072,186.526056,193.976107,176.141617,185.882481,208.813963,479.832521,412.260072,388.822571,335.119033,294.938921,267.190743,233.765419,236.648872,265.128288,292.948393,506.065385,439.328361,388.951786,356.275646,327.464337,323.003858,313.001809,283.313315,323.218318,336.785527,529.527251,486.661054,445.220657,429.351237,385.338745,363.355570,353.289054,348.445857,384.246764,404.065032,562.018113,527.233250,509.705441,470.899256,433.886752,425.755024,395.858565,423.066310,404.719795,445.513604,600.703810,544.238234,538.098344,531.070140,499.941313,495.496355,463.038109,465.192241,489.080288,503.061980
18,480.253055,433.229348,381.980912,314.811669,239.228273,195.248109,159.095519,82.148055,48.505739,74.875838,474.014477,437.548320,375.480442,321.820496,242.386445,165.507101,120.241003,60.098389,0.000000,56.371759,463.950968,425.260149,375.716193,308.468897,260.188456,181.415519,147.366347,74.732176,66.942368,100.329177,476.357256,414.920793,352.937273,307.191778,245.483145,217.138493,166.319964,107.803990,105.541932,119.585803,488.863412,426.275184,382.594604,330.052039,287.720904,222.273409,210.941287,176.473861,173.687639,171.669607,530.504982,462.507891,434.729885,377.110831,328.158967,291.664463,251.360945,233.617842,252.383442,263.331245,553.648772,485.550488,428.546840,390.554167,355.074372,340.614439,324.503834,280.894797,309.477617,313.040905,571.834732,525.979905,482.849950,459.644855,411.765327,381.443030,360.746493,344.515167,371.483578,381.744675,603.555489,565.727102,542.062815,496.684511,454.855998,438.310950,399.530534,419.238426,393.881156,423.033292,637.205314,577.164805,567.686149,553.706672,517.981102,504.545988,463.907069,460.008346,475.994310,484.142610
19,536.534873,489.533881,438.046174,371.182765,295.595450,250.627645,214.345409,131.122033,84.878527,75.466785,529.274386,492.435429,430.376247,376.911160,297.697957,220.763840,176.227720,115.943378,56.371759,0.000000,517.352310,478.258563,427.600112,361.101431,312.756778,230.052372,194.454760,105.768970,72.465416,50.403813,527.067675,465.170102,401.410745,354.692598,292.158312,261.263943,204.262526,126.700958,110.476590,88.450379,535.220817,472.600746,428.030041,370.633035,327.793184,256.713904,230.715815,184.523293,170.088159,140.737987,573.854732,505.762176,473.984924,413.336762,357.413359,314.255514,269.515361,234.093302,242.421942,235.668925,593.784964,524.733959,461.981780,419.634561,378.810084,355.732858,334.537786,279.588614,296.196968,289.735381,606.699361,558.279507,513.916754,484.159560,433.406625,396.054107,366.081238,339.614046,357.445771,358.215502,637.496409,596.960388,567.664026,516.598330,470.848741,446.789769,400.467486,412.736316,381.206897,398.629984,666.088845,603.024876,590.469363,570.095523,530.454518,508.801623,461.074339,451.533441,459.798448,462.297205
