time,node_id,old_role,new_role
107.00271249005363,4,UNREGISTERED,REGISTERED
107.00276913844782,3,UNDISCOVERED,UNREGISTERED
107.00282670542654,4,REGISTERED,CLUSTER_HEAD
107.002883813113,5,CLUSTER_HEAD,ROUTER
116.21541383263386,45,UNDISCOVERED,UNREGISTERED
117.1844838225895,38,UNDISCOVERED,UNREGISTERED
118.41568576333526,27,UNDISCOVERED,UNREGISTERED
118.4157391887433,35,REGISTERED,UNREGISTERED
121.0113153095528,47,UNREGISTERED,REGISTERED
121.01139305421476,56,UNDISCOVERED,UNREGISTERED
121.0114056897606,48,UNDISCOVERED,UNREGISTERED
121.01140687361975,57,UNDISCOVERED,UNREGISTERED
121.01152784137399,46,UNREGISTERED,REGISTERED
121.01161473942199,55,UNDISCOVERED,UNREGISTERED
127.0028824352362,3,UNREGISTERED,REGISTERED
137.18472405541652,18,REGISTERED,CLUSTER_HEAD
137.1847783147807,29,UNDISCOVERED,UNREGISTERED
137.18481487595065,38,UNREGISTERED,REGISTERED
137.184869695609,39,UNDISCOVERED,UNREGISTERED
137.1849965170189,38,REGISTERED,CLUSTER_HEAD
137.18508733755303,18,CLUSTER_HEAD,ROUTER
138.41577578573242,27,UNREGISTERED,REGISTERED
141.01159163880143,48,UNREGISTERED,REGISTERED
141.0116238407589,58,UNDISCOVERED,UNREGISTERED
141.01167282560056,59,UNDISCOVERED,UNREGISTERED
141.01169062391943,68,UNDISCOVERED,UNREGISTERED
141.0119611933755,46,REGISTERED,CLUSTER_HEAD
142.52702789083173,28,UNDISCOVERED,UNREGISTERED
146.7770812123526,7,UNDISCOVERED,UNREGISTERED
148.8085624793906,25,UNDISCOVERED,UNREGISTERED
148.8086221874007,34,UNDISCOVERED,UNREGISTERED
157.1849072207643,29,UNREGISTERED,REGISTERED
157.18497933492569,39,UNREGISTERED,REGISTERED
161.0115242564618,56,UNREGISTERED,REGISTERED
161.01160140886049,66,UNDISCOVERED,UNREGISTERED
161.01160178261685,65,UNDISCOVERED,UNREGISTERED
161.01160611971005,57,UNREGISTERED,REGISTERED
161.01167190395566,67,UNDISCOVERED,UNREGISTERED
161.011788535518,55,UNREGISTERED,REGISTERED
161.01186060597772,54,UNDISCOVERED,UNREGISTERED
161.0118801250587,64,UNDISCOVERED,UNREGISTERED
161.0119215606236,76,UNDISCOVERED,UNREGISTERED
161.01197505661116,57,REGISTERED,CLUSTER_HEAD
161.0120746796563,46,CLUSTER_HEAD,ROUTER
161.0123066114394,48,REGISTERED,CLUSTER_HEAD
161.01240559655741,68,UNREGISTERED,REGISTERED
161.01245331460888,69,UNDISCOVERED,UNREGISTERED
161.01248557938493,79,UNDISCOVERED,UNREGISTERED
161.01260356679342,68,REGISTERED,CLUSTER_HEAD
161.01270255191142,48,CLUSTER_HEAD,ROUTER
163.3127380128584,49,UNDISCOVERED,UNREGISTERED
166.77723834844707,7,UNREGISTERED,REGISTERED
168.8086783990527,25,UNREGISTERED,REGISTERED
177.10650526819103,14,UNDISCOVERED,UNREGISTERED
178.41610769965328,25,REGISTERED,CLUSTER_HEAD
181.01136460460492,35,UNREGISTERED,REGISTERED
181.01153669758423,35,REGISTERED,CLUSTER_HEAD
181.0116227440739,25,CLUSTER_HEAD,ROUTER
181.0125487507118,69,UNREGISTERED,REGISTERED
181.0126223251224,78,UNDISCOVERED,UNREGISTERED
182.52715105450653,28,UNREGISTERED,REGISTERED
196.2155642422522,45,UNREGISTERED,REGISTERED
199.62675943327804,36,UNDISCOVERED,UNREGISTERED
199.62679078020673,56,REGISTERED,UNREGISTERED
199.62681207713123,55,REGISTERED,UNREGISTERED
201.01133632059674,44,UNREGISTERED,REGISTERED
201.01138925808635,24,UNREGISTERED,REGISTERED
201.01140580349858,43,UNDISCOVERED,UNREGISTERED
201.01146166700246,23,UNDISCOVERED,UNREGISTERED
201.011462599944,33,UNDISCOVERED,UNREGISTERED
201.0115206192571,22,UNDISCOVERED,UNREGISTERED
201.01152806270582,32,UNDISCOVERED,UNREGISTERED
201.01152916009517,12,UNDISCOVERED,UNREGISTERED
201.0122960135765,45,REGISTERED,CLUSTER_HEAD
201.01238527751818,65,UNREGISTERED,REGISTERED
201.01247524835432,75,UNDISCOVERED,UNREGISTERED
201.0124997724771,44,REGISTERED,CLUSTER_HEAD
201.01256380540153,65,REGISTERED,CLUSTER_HEAD
201.01264554503996,79,UNREGISTERED,REGISTERED
201.0126530693432,45,CLUSTER_HEAD,ROUTER
201.01271696186956,88,UNDISCOVERED,UNREGISTERED
201.01272305644696,89,UNDISCOVERED,UNREGISTERED
201.0127670073903,78,UNREGISTERED,REGISTERED
