source_id,target_id,distance
1,33,239.083489
1,34,270.186401
1,35,300.938951
1,36,354.589078
1,37,429.960330
1,38,458.654435
1,39,521.858591
1,40,271.343747
1,41,250.411171
1,42,254.989354
1,43,303.118323
1,44,309.623057
1,45,355.537214
1,46,424.642118
1,47,461.500834
1,48,494.096982
1,49,556.718540
1,50,332.017927
1,51,301.024218
1,52,335.643576
1,53,347.763910
1,54,390.776608
1,55,423.864384
1,56,437.791815
1,57,504.488184
1,58,550.204272
1,59,614.529767
1,60,383.477141
1,61,357.365955
1,62,388.746238
1,63,410.143164
1,64,435.363784
1,65,481.936667
1,66,502.095017
1,67,532.975345
1,68,597.001356
1,69,636.868661
1,70,450.466045
1,71,447.209399
1,72,434.611882
1,73,476.131791
1,74,473.013574
1,75,503.536678
1,76,544.275976
1,77,584.148686
1,78,642.483446
1,79,690.185014
1,80,480.433042
1,81,481.329267
1,82,515.424593
1,83,531.625480
1,84,534.253225
1,85,571.806072
1,86,589.922631
1,87,640.950044
1,88,652.440434
1,89,726.849841
1,90,551.412715
1,91,536.105614
1,92,555.014753
1,93,594.279315
1,94,597.542651
1,95,640.985340
1,96,653.195251
1,97,680.258176
1,98,731.334877
1,99,765.225013
2,3,76.640904
2,4,147.733920
2,5,206.578273
2,6,238.337152
2,7,328.728429
2,8,375.400182
2,9,422.199855
2,10,101.142496
2,11,77.579495
2,12,51.152132
2,13,73.335504
2,14,143.120042
2,15,218.521319
2,16,261.818572
2,17,322.102853
2,18,381.980912
2,19,438.046174
2,20,127.742128
2,21,112.319206
2,22,120.262205
2,23,122.369340
2,24,153.039750
2,25,238.077826
2,26,269.709172
2,27,359.265032
2,28,401.496624
2,29,474.640531
2,30,181.492608
2,31,157.206491
2,32,171.133890
2,33,186.643107
2,34,214.047650
2,35,244.364591
2,36,297.906299
2,37,374.104259
2,38,403.014008
2,39,467.027750
2,40,248.658802
2,41,216.428283
2,42,212.797032
2,43,253.218465
2,44,256.198533
2,45,299.312529
2,46,368.130859
2,47,404.784805
2,48,437.483698
2,49,500.905951
2,50,310.382251
2,51,269.798344
2,52,297.260736
2,53,301.607705
2,54,339.211035
2,55,369.670858
2,56,382.010036
2,57,447.896071
2,58,493.544604
2,59,557.852972
2,60,359.774910
2,61,324.973939
2,62,346.384447
2,63,362.896872
2,64,384.468759
2,65,428.897386
2,66,447.836870
2,67,476.856847
2,68,540.633977
2,69,580.192217
2,70,422.151391
2,71,412.716187
2,72,395.672981
2,73,432.021163
2,74,424.880964
2,75,452.114082
2,76,490.517447
2,77,528.814491
2,78,586.711871
2,79,633.812216
2,80,453.625888
2,81,449.040689
2,82,477.251642
2,83,487.656475
2,84,486.589046
2,85,521.240774
2,86,536.560749
2,87,586.834141
2,88,597.089397
2,89,670.679678
2,90,521.748409
2,91,500.292486
2,92,516.547935
2,93,551.481262
2,94,551.416662
2,95,591.489675
2,96,600.736029
2,97,626.595828
2,98,676.627513
2,99,709.808236
3,4,75.771433
3,5,131.214127
3,6,164.509097
3,7,255.815672
3,8,303.751776
3,9,349.562573
3,10,177.766473
3,11,151.310965
3,12,102.409864
3,13,72.175509
3,14,92.774757
3,15,157.873787
3,16,196.369992
3,17,255.979215
3,18,314.811669
3,19,371.182765
3,20,197.330600
3,21,172.556727
3,22,157.285625
3,23,121.677951
3,24,126.536065
3,25,194.069422
3,26,219.943724
3,27,301.520913
3,28,341.794779
3,29,410.897073
3,30,242.655418
3,31,203.429736
3,32,191.256213
3,33,187.227043
3,34,190.990776
3,35,213.598929
3,36,256.013894
3,37,321.514233
3,38,348.847084
3,39,408.716172
3,40,299.596309
3,41,255.288549
3,42,238.232593
3,43,257.276089
3,44,247.344664
3,45,271.125064
3,46,334.508773
3,47,362.191743
3,48,391.623669
3,49,447.058689
3,50,360.234399
3,51,309.595990
3,52,324.893017
3,53,313.294306
3,54,334.020809
3,55,352.932917
3,56,355.547349
3,57,411.604291
3,58,455.273078
3,59,512.410973
3,60,406.028585
3,61,361.025320
3,62,364.748658
3,63,369.679679
3,64,380.200086
3,65,415.897033
3,66,429.132578
3,67,446.002629
3,68,506.534608
3,69,540.732813
3,70,461.358553
3,71,443.238857
3,72,419.151983
3,73,444.421369
3,74,427.747905
3,75,444.600054
3,76,473.435113
3,77,503.131890
3,78,557.520453
3,79,598.915079
3,80,494.224724
3,81,482.180873
3,82,500.389861
3,83,499.292381
3,84,489.490952
3,85,515.375142
3,86,520.546006
3,87,566.970803
3,88,570.618920
3,89,637.621021
3,90,557.501527
3,91,527.064862
3,92,538.526128
3,93,564.631431
3,94,557.164574
3,95,587.931458
3,96,587.508128
3,97,608.366744
3,98,653.129189
3,99,682.102348
4,5,61.466779
4,6,90.700418
4,7,181.100008
4,8,228.401939
4,9,274.720659
4,10,246.612902
4,11,215.135478
4,12,156.851386
4,13,106.968592
4,14,55.286379
4,15,88.280702
4,16,121.882629
4,17,180.795523
4,18,239.228273
4,19,295.595450
4,20,254.294818
4,21,222.283779
4,22,189.949057
4,23,130.910419
4,24,106.332168
4,25,139.301722
4,26,157.352526
4,27,230.245099
4,28,268.995935
4,29,336.055566
4,30,288.437148
4,31,237.836650
4,32,203.518764
4,33,181.313529
4,34,159.714034
4,35,171.144240
4,36,199.073672
4,37,253.494068
4,38,279.346726
4,39,336.253746
4,40,332.004217
4,41,278.319280
4,42,249.858594
4,43,246.242268
4,44,224.270554
4,45,226.707321
4,46,282.031982
4,47,301.203655
4,48,327.536331
4,49,376.909014
4,50,389.096539
4,51,330.168136
4,52,332.482616
4,53,305.726145
4,54,308.672241
4,55,315.550686
4,56,308.922327
4,57,354.855235
4,58,396.191498
4,59,447.320200
4,60,429.591459
4,61,375.438123
4,62,361.176494
4,63,354.427530
4,64,353.732403
4,65,379.904106
4,66,387.488770
4,67,393.208551
4,68,450.122403
4,69,479.762606
4,70,475.910224
4,71,449.189858
4,72,418.656495
4,73,432.071391
4,74,406.561036
4,75,412.974396
4,76,432.255655
4,77,453.801556
4,78,504.500764
4,79,540.921245
4,80,509.519394
4,81,489.841272
4,82,497.332423
4,83,484.763261
4,84,466.681518
4,85,483.680670
4,86,479.440937
4,87,521.752259
4,88,519.707297
4,89,580.741986
4,90,566.392994
4,91,527.142557
4,92,533.481501
4,93,550.266660
4,94,535.712379
4,95,557.137725
4,96,547.876721
4,97,564.049922
4,98,603.846216
4,99,629.121416
5,6,36.310749
5,7,126.738351
5,8,176.049363
5,9,220.062623
5,10,306.704234
5,11,276.183634
5,12,218.312444
5,13,168.044517
5,14,103.869048
5,15,84.514040
5,16,92.476209
5,17,141.953514
5,18,195.248109
5,19,250.627645
5,20,315.754261
5,21,283.406470
5,22,248.785273
5,23,186.026080
5,24,152.069174
5,25,150.191346
5,26,154.161048
5,27,203.501695
5,28,236.634180
5,29,295.129616
5,30,348.741083
5,31,296.271733
5,32,255.979129
5,33,226.905215
5,34,191.252197
5,35,191.784934
5,36,200.332843
5,37,233.149994
5,38,254.933611
5,39,303.319615
5,40,388.836061
5,41,332.782662
5,42,300.585819
5,43,285.628331
5,44,256.856979
5,45,240.825104
5,46,284.176835
5,47,291.143140
5,48,311.794664
5,49,348.817302
5,50,444.273880
5,51,382.913634
5,52,379.478829
5,53,345.127538
5,54,335.858997
5,55,332.329637
5,56,316.704789
5,57,349.117760
5,58,386.328547
5,59,427.546272
5,60,482.442300
5,61,424.957467
5,62,401.619047
5,63,387.630249
5,64,378.690891
5,65,396.081604
5,66,398.106088
5,67,391.521654
5,68,442.826760
5,69,465.835019
5,70,524.398190
5,71,493.600063
5,72,459.892197
5,73,465.699066
5,74,434.372890
5,75,432.274479
5,76,442.370616
5,77,454.949293
5,78,500.593879
5,79,530.323550
5,80,558.084279
5,81,534.726705
5,82,536.028985
5,83,516.107273
5,84,492.197803
5,85,501.662566
5,86,488.802139
5,87,526.320552
5,88,518.066301
5,89,571.173146
5,90,611.286219
5,91,567.410901
5,92,570.555628
5,93,580.935212
5,94,561.328652
5,95,574.912730
5,96,557.718996
5,97,569.029429
5,98,603.088454
5,99,623.891878
6,7,91.486055
6,8,140.297187
6,9,185.188045
6,10,337.221172
6,11,305.049403
6,12,245.408638
6,13,193.128036
6,14,120.609572
6,15,74.722394
6,16,64.464548
6,17,107.164230
6,18,159.095519
6,19,214.345409
6,20,341.861689
6,21,307.624081
6,22,268.728382
6,23,202.882438
6,24,162.981183
6,25,139.780955
6,26,135.431516
6,27,171.705804
6,28,202.619894
6,29,259.135038
6,30,370.460565
6,31,315.162964
6,32,268.793357
6,33,234.672300
6,34,190.702040
6,35,184.513900
6,36,181.686767
6,37,203.342240
6,38,223.297764
6,39,268.785188
6,40,404.922783
6,41,346.579053
6,42,311.133201
6,43,287.477793
6,44,254.711925
6,45,227.894872
6,46,263.779939
6,47,264.825478
6,48,282.851743
6,49,315.374520
6,50,458.070170
6,51,394.514789
6,52,385.890354
6,53,346.040161
6,54,328.703006
6,55,319.007915
6,56,298.686012
6,57,324.063769
6,58,359.168363
6,59,396.385071
6,60,493.529602
6,61,433.185927
6,62,402.661807
6,63,383.711493
6,64,369.587666
6,65,381.632764
6,66,380.599062
6,67,367.938136
6,68,416.390213
6,69,436.620095
6,70,531.113478
6,71,497.019638
6,72,461.047081
6,73,461.361164
6,74,426.483133
6,75,419.262345
6,76,424.217347
6,77,432.233295
6,78,475.322461
6,79,502.146294
6,80,564.715414
