node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
39,37,99.631738,REGISTERED,5,319.1159660502948
39,27,107.799654,UNREGISTERED,5,277.88079774648145
39,28,67.327545,UNREGISTERED,6,280.96387878011575
39,38,69.946814,REGISTERED,6,280.9640859436257
39,19,88.450379,UNREGISTERED,7,287.8809969096933
40,41,62.641098,ROUTER,1,350.1001503115575
40,42,45.652508,CLUSTER_HEAD,3,110.32534418652419
40,52,87.670459,UNREGISTERED,4,106.9772650121639
40,33,47.702992,CLUSTER_HEAD,2,110.32544226001734
40,23,73.473411,ROUTER,3,110.32544298493671
40,44,108.150663,REGISTERED,3,93.89257697074014
40,43,87.977325,UNREGISTERED,3,103.89265410733385
40,24,105.837901,UNREGISTERED,3,118.09085379856742
40,50,61.723844,CLUSTER_HEAD,2,327.90982009226445
40,12,70.158875,CLUSTER_HEAD,4,110.32544064687993
40,61,100.170256,UNREGISTERED,3,146.97720751971792
40,60,112.180627,ROUTER,3,347.9097097900437
40,51,53.129213,REGISTERED,3,383.7728576091321
40,53,96.009020,UNREGISTERED,4,172.32993675813262
40,13,87.532167,UNREGISTERED,4,196.01690000197513
40,34,110.110516,ROUTER,3,197.88021291133262
40,25,125.809761,UNREGISTERED,4,109.11567406756669
40,14,82.711194,CLUSTER_HEAD,4,142.62324472712004
40,4,130.910419,ROUTER,5,170.9619897716412
40,54,86.716034,CLUSTER_HEAD,4,162.32983497224748
40,36,123.545222,REGISTERED,4,109.11591164721752
40,45,77.412489,REGISTERED,4,168.7442905221029
40,64,132.875069,REGISTERED,5,169.11584896539063
40,26,98.215903,REGISTERED,4,194.42704958707122
40,80,98.912424,CLUSTER_HEAD,5,199.8826549322947
40,70,74.542477,REGISTERED,5,199.88262498159742
40,72,134.433205,ROUTER,4,246.97831599046603
40,81,118.429064,UNREGISTERED,5,209.88270425201517
40,63,95.275926,REGISTERED,5,162.32980705149248
40,73,70.021613,CLUSTER_HEAD,5,183.90233700752478
40,71,45.894762,CLUSTER_HEAD,4,199.8825904198973
40,82,81.708758,CLUSTER_HEAD,6,209.1184226855382
40,74,115.367216,ROUTER,5,209.11634372448722
40,62,117.556111,UNREGISTERED,5,226.9780810300888
40,35,96.331145,CLUSTER_HEAD,3,214.4275798175536
40,1,82.512049,CLUSTER_HEAD,5,300.3139455807962
40,90,76.611773,REGISTERED,6,296.97774239169155
40,92,99.193264,REGISTERED,6,289.1182953997047
41,42,45.652508,CLUSTER_HEAD,1,386.976892654852
41,52,87.670459,REGISTERED,2,396.97699579833557
41,23,73.473411,ROUTER,3,110.32544298493671
41,44,108.150663,REGISTERED,3,93.89257697074014
41,43,87.977325,UNREGISTERED,3,103.89265410733385
41,24,105.837901,UNREGISTERED,3,118.09085379856742
41,12,70.158875,CLUSTER_HEAD,4,110.32544064687993
41,61,108.549196,UNREGISTERED,3,146.97721589865833
41,51,54.399576,REGISTERED,3,383.7728588794954
41,53,96.009020,UNREGISTERED,4,172.32993675813262
41,34,62.708451,CLUSTER_HEAD,3,108.09072434772837
41,25,125.809761,UNREGISTERED,4,109.11567406756669
41,14,82.711194,CLUSTER_HEAD,4,142.62324472712004
41,4,130.910419,ROUTER,5,170.9619897716412
41,13,87.532167,UNREGISTERED,4,196.01690000197513
41,54,86.716034,CLUSTER_HEAD,4,162.32983497224748
41,36,123.545222,REGISTERED,4,109.11591164721752
41,45,77.412489,REGISTERED,4,168.7442905221029
41,64,132.875069,REGISTERED,5,169.11584896539063
41,26,98.215903,REGISTERED,4,194.42704958707122
41,50,61.723844,CLUSTER_HEAD,2,173.77279810367205
