time,packet_type,source,current_node,next_hop,dest,hop_count,routing_direction
714.3833121035698,SENSOR_DATA,"[10,1]",68,"[10,2]","[17,2]",,MESH
714.3833653088058,SENSOR_DATA,"[10,1]",67,"[17,2]","[17,2]",,DIRECT
715.453433322607,SENSOR_DATA,"[14,1]",49,"[0,1]","[6,5]",,MESH
715.4534915018658,SENSOR_DATA,"[14,1]",48,"[6,3]","[6,5]",,MESH
715.4536043157627,SENSOR_DATA,"[14,1]",57,"[6,254]","[6,5]",,TREE
715.453678694542,SENSOR_DATA,"[14,1]",46,"[6,5]","[6,5]",,DIRECT
715.5747294257947,SENSOR_DATA,"[37,2]",13,"[35,3]","[35,1]",,MESH
715.5748017300841,SENSOR_DATA,"[37,2]",2,"[35,1]","[35,1]",,DIRECT
715.6283730676606,SENSOR_DATA,"[37,3]",3,"[35,3]","[35,4]",,MESH
715.6284501975524,SENSOR_DATA,"[37,3]",2,"[35,4]","[35,4]",,DIRECT
716.4429647727213,SENSOR_DATA,"[6,1]",46,"[6,2]","[3,2]",,MESH
716.4430360490277,SENSOR_DATA,"[6,1]",35,"[3,3]","[3,2]",,MESH
716.4431255342741,SENSOR_DATA,"[6,1]",26,"[3,2]","[3,2]",,DIRECT
717.4328338514836,SENSOR_DATA,"[1,2]",36,"[1,254]","[0,2]",,TREE
717.4329140647759,SENSOR_DATA,"[1,2]",47,"[0,1]","[0,2]",,MESH
717.4329875475632,SENSOR_DATA,"[1,2]",48,"[0,254]","[0,2]",,TREE
717.4330708624691,SENSOR_DATA,"[1,2]",28,"[0,2]","[0,2]",,DIRECT
717.9172484629762,SENSOR_DATA,"[33,2]",53,"[13,4]","[32,2]",,MESH
717.9172537422043,SENSOR_DATA,"[33,3]",62,"[30,4]","[11,1]",,MESH
717.9172636191951,SENSOR_DATA,"[30,3]",73,"[11,4]","[6,1]",,MESH
717.9173064215352,SENSOR_DATA,"[33,3]",63,"[11,4]","[11,1]",,MESH
717.9173393771248,SENSOR_DATA,"[33,2]",64,"[18,2]","[32,2]",,MESH
717.9173830669054,SENSOR_DATA,"[30,3]",54,"[6,2]","[6,1]",,MESH
717.917406409085,SENSOR_DATA,"[33,3]",54,"[11,1]","[11,1]",,DIRECT
717.9174755121171,SENSOR_DATA,"[33,2]",76,"[32,2]","[32,2]",,DIRECT
717.9175084274912,SENSOR_DATA,"[30,3]",35,"[6,1]","[6,1]",,DIRECT
717.9175536740178,SENSOR_DATA,"[43,2]",71,"[43,1]","[34,3]",,MESH
717.9176145052314,SENSOR_DATA,"[43,2]",61,"[24,5]","[34,3]",,MESH
717.9176731028324,SENSOR_DATA,"[43,2]",51,"[24,254]","[34,3]",,TREE
717.9177311590561,SENSOR_DATA,"[43,2]",52,"[11,2]","[34,3]",,MESH
717.9178110731708,SENSOR_DATA,"[43,2]",43,"[11,254]","[34,3]",,TREE
717.9178497687543,SENSOR_DATA,"[43,2]",44,"[6,2]","[34,3]",,TREE
717.9179380791414,SENSOR_DATA,"[43,2]",35,"[6,254]","[34,3]",,TREE
717.9180093554478,SENSOR_DATA,"[43,2]",46,"[6,5]","[34,3]",,TREE
717.9180849883447,SENSOR_DATA,"[43,2]",56,"[18,1]","[34,3]",,TREE
717.9180911737956,SENSOR_DATA,"[33,2]",53,"[11,2]","[37,2]",,MESH
