packet_id,packet_type,source_gui,dest_gui,created_at,received_at,delay,path
7138,TABLE_SHARE,88,,490.431003860048,490.431073136479,6.927643096332758e-05,88 -> 79
7135,TABLE_SHARE,88,,490.431003860048,490.4310732251524,6.936510436617027e-05,88 -> 98
7136,TABLE_SHARE,88,,490.431003860048,490.4310982981245,9.443807647357971e-05,88 -> 97
7143,TABLE_SHARE,86,,490.4311174371601,490.43116853988727,5.110272718411579e-05,86 -> 77
7142,TABLE_SHARE,86,,490.4311174371601,490.4311743722626,5.6935102520583314e-05,86 -> 76
7150,TABLE_SHARE,86,,490.4311174371601,490.4311765777609,5.9140600797036313e-05,86 -> 87
7144,TABLE_SHARE,86,,490.4311174371601,490.4311882072874,7.077012730860588e-05,86 -> 85
7149,TABLE_SHARE,86,,490.4311174371601,490.43120494804737,8.751088728331524e-05,86 -> 97
7145,TABLE_SHARE,86,,490.4311174371601,490.43120754019253,9.010303244849638e-05,86 -> 95
7140,SENSOR_DATA,88,,490.431003860048,490.431314624967,0.0003107649189928452,88 -> 77 -> 76 -> 65 -> 64
7152,SENSOR_DATA,86,,490.4311174371601,490.43151804631543,0.0004006091553492297,86 -> 76 -> 65 -> 74 -> 63 -> 53
7155,TABLE_SHARE,17,,490.6278403596898,490.6278768220544,3.646236461918306e-05,17 -> 16
7165,TABLE_SHARE,16,,490.6278521433238,490.62788860568844,3.646236461918306e-05,16 -> 17
7158,TABLE_SHARE,17,,490.6278403596898,490.62789215742396,5.179773415875388e-05,17 -> 7
7166,TABLE_SHARE,16,,490.6278521433238,490.6278959685914,4.382526759627581e-05,16 -> 26
7154,TABLE_SHARE,17,,490.6278403596898,490.6279060682981,6.570860830379388e-05,17 -> 27
7156,TABLE_SHARE,17,,490.6278403596898,490.62791207878615,7.171909635417251e-05,17 -> 26
7160,TABLE_SHARE,17,,490.6278403596898,490.627921779175,8.14194851841421e-05,17 -> 6
7168,TABLE_SHARE,16,,490.6278521433238,490.6279220610282,6.991770436570732e-05,16 -> 15
7172,TABLE_SHARE,16,,490.6278521433238,490.62792895101944,7.680769562057321e-05,16 -> 6
7164,TABLE_SHARE,16,,490.6278521433238,490.6279296355662,7.749224238295938e-05,16 -> 27
7170,TABLE_SHARE,16,,490.6278521433238,490.62793182799686,7.96846730395373e-05,16 -> 7
7159,TABLE_SHARE,17,,490.6278403596898,490.627936676034,9.631634418383328e-05,17 -> 18
7167,TABLE_SHARE,16,,490.6278521433238,490.62793930614043,8.71628166123628e-05,16 -> 5
7169,TABLE_SHARE,16,,490.6278521433238,490.6279471285559,9.49852320673017e-05,16 -> 25
7174,SENSOR_DATA,16,,490.6278521433238,490.6280645163049,0.00021237298108189862,16 -> 27 -> 36 -> 46
7162,SENSOR_DATA,17,,490.6278403596898,490.6281141875196,0.00027382782980112097,17 -> 27 -> 48 -> 47
7178,TABLE_SHARE,33,,490.88248716792725,490.8825477125017,6.054457446680317e-05,33 -> 43
7179,TABLE_SHARE,33,,490.88248716792725,490.8825483777446,6.120981737467446e-05,33 -> 32
7184,TABLE_SHARE,33,,490.88248716792725,490.88255261382955,6.544590229395908e-05,33 -> 34
7185,TABLE_SHARE,33,,490.88248716792725,490.8825549873826,6.781945535294653e-05,33 -> 23
7177,TABLE_SHARE,33,,490.88248716792725,490.88255950040565,7.233247839621981e-05,33 -> 44
7180,TABLE_SHARE,33,,490.88248716792725,490.88257720250465,9.00345773970912e-05,33 -> 42
7181,TABLE_SHARE,33,,490.88248716792725,490.882582391189,9.522326172373141e-05,33 -> 22
7176,TABLE_SHARE,33,,490.88248716792725,490.88262197516354,0.00013480723629299973,33 -> 45
7194,TABLE_SHARE,10,,490.88570565053453,490.88575959925737,5.394872283659424e-05,10 -> 0
7193,TABLE_SHARE,10,,490.88570565053453,490.88577675399523,7.110346069794105e-05,10 -> 1
7190,TABLE_SHARE,10,,490.88570565053453,490.8857773855279,7.173499335522138e-05,10 -> 20
7192,TABLE_SHARE,10,,490.88570565053453,490.8857854579527,7.980741816027148e-05,10 -> 11
7191,TABLE_SHARE,10,,490.88570565053453,490.88579813893557,9.248840103737166e-05,10 -> 21
7195,SENSOR_DATA,10,,490.88570565053453,490.88585472739373,0.0001490768592020686,10 -> 11 -> 21
7196,JOIN_REQUEST,14,,492.1476835512868,492.14776116680326,7.761551648854947e-05,14 -> 3
7197,NETWORK_REQUEST,3,,492.14776116680326,492.1487168629739,0.0009556961706493894,3 -> 12 -> 21 -> 31 -> 42 -> 52 -> 63 -> 74 -> 65 -> 56 -> 37 -> 28
7199,TABLE_SHARE,23,,493.2902080640704,493.29027588352574,6.781945535294653e-05,23 -> 33
7203,TABLE_SHARE,23,,493.2902080640704,493.29027999670745,7.193263706994912e-05,23 -> 13
7200,TABLE_SHARE,23,,493.2902080640704,493.2902882825808,8.021851039075045e-05,23 -> 22
7201,TABLE_SHARE,23,,493.2902080640704,493.2903055209291,9.745685872530885e-05,23 -> 25
7202,TABLE_SHARE,23,,493.2902080640704,493.2903317211645,0.00012365709409323244,23 -> 43
7207,TABLE_SHARE,97,,494.7650383235374,494.76508590514396,4.758160656592736e-05,97 -> 98
7210,TABLE_SHARE,97,,494.7650383235374,494.76511401417827,7.569064086965227e-05,97 -> 87
7209,TABLE_SHARE,97,,494.7650383235374,494.7651258344247,8.751088728331524e-05,97 -> 86
7206,TABLE_SHARE,97,,494.7650383235374,494.76513276161387,9.443807647357971e-05,97 -> 88
7216,TABLE_SHARE,89,,495.4319688801428,495.4320150325152,4.6152372419783205e-05,89 -> 99
7215,TABLE_SHARE,89,,495.4319688801428,495.4320485151977,7.963505493080447e-05,89 -> 98
7214,TABLE_SHARE,89,,495.4319688801428,495.4320626416164,9.376147363582277e-05,89 -> 78
7217,SENSOR_DATA,89,,495.4319688801428,495.4322424214,0.0002735412572292262,89 -> 78 -> 77 -> 85
