source_id,target_id,distance
1,53,356.092796
1,54,405.102011
1,55,421.464521
1,56,472.275795
1,57,499.049855
1,58,554.706782
1,59,594.348805
1,60,368.562405
1,61,360.718086
1,62,383.092436
1,63,413.821807
1,64,438.281296
1,65,476.009749
1,66,498.568994
1,67,550.578721
1,68,584.660474
1,69,656.359259
1,70,409.113244
1,71,420.851514
1,72,461.641298
1,73,456.686498
1,74,501.564760
1,75,511.715901
1,76,560.062960
1,77,597.805826
1,78,649.472183
1,79,682.677687
1,80,490.640344
1,81,506.300789
1,82,518.682911
1,83,524.434323
1,84,552.860102
1,85,563.843642
1,86,616.658792
1,87,651.855459
1,88,681.733961
1,89,742.022818
1,90,565.154610
1,91,540.016247
1,92,559.137167
1,93,574.942777
1,94,581.983006
1,95,636.384922
1,96,669.625191
1,97,704.083006
1,98,727.206627
1,99,787.545158
2,3,77.129892
2,4,139.765192
2,5,194.109665
2,6,243.426120
2,7,310.567167
2,8,380.882352
2,9,419.318022
2,10,122.945853
2,11,48.938071
2,12,28.672486
2,13,72.304289
2,14,143.498047
2,15,194.410727
2,16,262.416059
2,17,294.900449
2,18,391.119864
2,19,447.151795
2,20,139.748501
2,21,111.044462
2,22,104.648278
2,23,135.324906
2,24,169.877290
2,25,218.722103
2,26,260.298888
2,27,332.341200
2,28,412.512413
2,29,457.261558
2,30,188.677935
2,31,162.772383
2,32,181.933070
2,33,186.394498
2,34,207.802000
2,35,286.262342
2,36,310.251587
2,37,351.030101
2,38,407.567843
2,39,474.311046
2,40,231.495648
2,41,205.217532
2,42,233.587914
2,43,246.894249
2,44,251.741848
2,45,300.387921
2,46,356.956972
2,47,390.109655
2,48,454.136102
2,49,510.886954
2,50,286.737186
2,51,275.320313
2,52,284.252630
2,53,307.355898
2,54,344.496544
2,55,357.671882
2,56,403.848041
2,57,428.006485
2,58,482.159963
2,59,520.127347
2,60,355.150627
2,61,333.370394
2,62,343.506019
2,63,366.809420
2,64,382.892000
2,65,412.607814
2,66,432.980194
2,67,481.436021
2,68,513.348799
2,69,583.289001
2,70,392.141541
2,71,394.161565
2,72,424.000020
2,73,409.682834
2,74,447.944929
2,75,451.691820
2,76,497.879722
2,77,532.615592
2,78,580.472089
